customer_id,customer_name,mobile,city,customer_type,join_date,email
1,Pavani Sekhon,2605092307,Surat,Wholesale,2025-03-19,kritika92@example.org
2,Mugdha Pai,3186080738,Vadodara,Wholesale,2024-09-24,jagrati10@example.net
3,Amruta Uppal,6043571802,Ahmedabad,Retail,2024-05-09,gabriel75@example.com
4,Neelima Ghose,7491192290,Vapi,Retail,2024-12-18,krishnamuni@example.org
5,Ikshita Ram,2597532767,Surat,Wholesale,2023-10-03,lokeaarush@example.net
6,Ishwar Sami,1396241553,Ahmedabad,Wholesale,2024-08-14,sathebalhaar@example.com
7,Ishani Luthra,7440847432,Surat,Retail,2023-12-23,thakkartara@example.org
8,Lajita Nagi,6358880580,Anand,Retail,2024-07-18,jagdish35@example.net
9,Warda Bhasin,7447705507,Surat,Retail,2026-03-25,galafaris@example.org
10,Damyanti Kala,5804969128,Surat,Wholesale,2023-08-26,bhasinradha@example.org
11,Ati Mani,9503964856,Anand,Wholesale,2024-08-12,chowdhurywriddhish@example.org
12,Aahana Gara,9557788771,Anand,Retail,2026-02-15,gmittal@example.org
13,Aarini Pandya,5009422288,Bharuch,Retail,2025-04-05,fbahl@example.com
14,Balvan Dara,2689895005,Surat,Wholesale,2025-08-03,kroy@example.net
15,Harini Muni,1498467718,Bhavnagar,Wholesale,2026-01-08,labanpatla@example.com
16,Veda Gandhi,180129462,Bharuch,Wholesale,2023-10-21,hhora@example.net
17,Max Parmar,5378531632,Bhavnagar,Wholesale,2025-04-10,isura@example.com
18,Fiyaz Thaker,2718567578,Vapi,Wholesale,2025-08-17,kalitaadya@example.org
19,Madhav Mandal,376106698,Vadodara,Wholesale,2026-04-21,manbirchaudhry@example.org
20,Aarna Chadha,66087720,Bhavnagar,Wholesale,2025-05-19,osha35@example.com
21,Radhika Dara,6921600545,Surat,Wholesale,2025-02-14,valasarthak@example.com
22,Saumya Ramaswamy,1683937624,Gandhinagar,Wholesale,2026-04-22,sai67@example.org
23,Ekalinga Chakraborty,7263982140,Ahmedabad,Wholesale,2025-04-16,wridesh48@example.com
24,Madhav Anand,65472834,Bharuch,Wholesale,2025-02-19,dvala@example.org
25,Om Ravel,4221614085,Ahmedabad,Retail,2024-02-06,mekhalamani@example.com
26,Bakhshi Walla,4528307379,Anand,Retail,2026-05-02,twable@example.net
27,Ekaraj Tank,8552687898,Gandhinagar,Retail,2024-03-11,vbora@example.net
28,Vidhi Parmar,6679952528,Vapi,Retail,2025-09-09,balendra12@example.org
29,Lipika Bhagat,2438061841,Bhavnagar,Retail,2025-05-29,bviswanathan@example.com
30,Charvi Varughese,6974723969,Vapi,Wholesale,2025-10-22,abharamesh@example.net
31,Udarsh Magar,173237841,Bhavnagar,Retail,2025-06-22,vanshawalla@example.net
32,Chanakya Krishnan,7666383397,Surat,Retail,2025-03-24,hemaniparmar@example.org
33,Chasmum Thakkar,9725628684,Vapi,Retail,2025-09-23,divyakothari@example.net
34,Triya Rajagopal,1556808090,Gandhinagar,Retail,2025-07-25,sjhaveri@example.com
35,Diya Kakar,9730199916,Vapi,Retail,2024-10-10,jainekalinga@example.net
36,Dalbir Cherian,2449596594,Jamnagar,Wholesale,2025-06-25,yachana07@example.com
37,Yagnesh Raghavan,8396890759,Gandhinagar,Retail,2024-10-01,vgade@example.net
38,Xavier Garg,2051789509,Bhavnagar,Retail,2026-04-13,daksha33@example.com
39,Varenya Om,4889294990,Ahmedabad,Wholesale,2024-02-07,xmukhopadhyay@example.com
40,Vritti Thakur,2060583084,Rajkot,Retail,2025-04-29,iragrover@example.net
41,Priya Chowdhury,4441347980,Vapi,Wholesale,2024-07-20,lila14@example.org
42,Tejas Mangat,128174650,Jamnagar,Wholesale,2024-10-17,ojasvi61@example.net
43,Yadavi Subramaniam,5760642207,Anand,Wholesale,2025-12-13,bhavikabera@example.net
44,Yash Lall,5283886057,Bhavnagar,Retail,2026-03-08,frederick09@example.net
45,Frado Dara,1468489785,Ahmedabad,Wholesale,2024-07-27,pallavi22@example.org
46,Manbir Date,8103522628,Bhavnagar,Retail,2024-03-24,yom@example.net
47,Vanya Tank,4649322188,Bhavnagar,Retail,2025-08-15,georgepurohit@example.org
48,Yatan Dhingra,9416892443,Bharuch,Retail,2024-10-02,kpalan@example.org
49,Yashasvi Chand,4102682360,Jamnagar,Wholesale,2024-02-02,anamika02@example.org
50,Xiti Lal,2260681370,Jamnagar,Wholesale,2023-10-28,hiteshchar@example.com
51,Dayamai Datta,1135130817,Vadodara,Wholesale,2024-07-17,brinda27@example.com
52,Nachiket Baria,4876211425,Rajkot,Wholesale,2024-02-12,meghana25@example.net
53,Krisha Gokhale,6776465784,Surat,Retail,2026-05-26,uprabhu@example.com
54,Yashoda Sankar,9878351504,Bharuch,Wholesale,2024-03-22,rastogitanish@example.com
55,Brijesh Kadakia,1116754324,Vadodara,Wholesale,2024-06-12,ayaan79@example.com
56,Samarth Tailor,6591018420,Anand,Wholesale,2026-03-11,chandreshkhurana@example.com
57,Karan Zachariah,1463952359,Bhavnagar,Wholesale,2024-06-03,viswanathangarima@example.org
58,Bachittar Shankar,9234006850,Anand,Retail,2025-04-24,kritikadutt@example.org
59,Saumya Babu,7961867235,Rajkot,Retail,2024-04-26,sparekh@example.com
60,Januja Ravi,767312853,Vadodara,Wholesale,2024-03-15,chandwarjas@example.com
61,Sneha Narang,9049492370,Jamnagar,Retail,2025-08-08,dhaliwalriya@example.net
62,Maanav Dugar,8500929546,Rajkot,Retail,2023-10-02,jhalak46@example.org
63,Udant Gour,1742312486,Bharuch,Wholesale,2025-06-22,ysem@example.net
64,Sai Yogi,1367688863,Jamnagar,Retail,2026-02-05,fchoudhary@example.org
65,Jagvi Nadig,775155144,Bhavnagar,Retail,2024-06-04,aachal52@example.org
66,Ayush Mohanty,5980324574,Vadodara,Wholesale,2025-09-07,vpillai@example.net
67,Yashica Deep,628340873,Bharuch,Wholesale,2024-08-03,charmanan@example.net
68,Isaac Ganguly,5878837912,Surat,Wholesale,2024-06-02,jpalla@example.org
69,Adweta Korpal,3686050800,Ahmedabad,Wholesale,2023-12-28,dattalavanya@example.com
70,Vasana Mohanty,3985260567,Bharuch,Retail,2023-10-21,ekaniraj@example.net
71,Zayyan Bhatt,3556968036,Ahmedabad,Retail,2025-05-07,parmarqabil@example.org
72,Isaiah Krish,5776951223,Anand,Retail,2025-05-24,dbakshi@example.com
73,Darsh Date,8848438280,Anand,Retail,2024-03-28,anay91@example.com
74,Sai Tara,8462796618,Anand,Retail,2023-09-15,chhabralavanya@example.com
75,Om Kala,2117849292,Vadodara,Retail,2024-04-17,anjali14@example.org
76,Sneha Luthra,7318805928,Surat,Wholesale,2025-08-09,takwahab@example.net
77,Ansh Varghese,3155596891,Jamnagar,Retail,2026-05-09,pranav39@example.org
78,Chaaya Salvi,1888898055,Surat,Wholesale,2024-12-12,ayushmansethi@example.net
79,Zashil Kale,3098660046,Vadodara,Retail,2025-03-26,onveer64@example.net
80,Parth Mahal,6591156612,Vapi,Wholesale,2025-12-16,kumergauri@example.net
81,Gayathri Sani,9213051382,Vadodara,Retail,2024-12-24,aramakrishnan@example.com
82,Ikbal Lall,2610756987,Vadodara,Retail,2024-12-04,tmannan@example.net
83,Charan Sane,57357439,Rajkot,Wholesale,2025-06-03,mandalhema@example.com
84,Frederick Gour,823888203,Ahmedabad,Wholesale,2023-12-06,chaudrydhruv@example.com
85,Chandresh Nagy,5516926031,Vapi,Wholesale,2026-05-16,purohitrishi@example.com
86,Zaid Mann,8187997768,Rajkot,Retail,2023-09-05,saxenareva@example.com
87,Chanchal Grewal,886874275,Jamnagar,Wholesale,2024-02-14,gshankar@example.org
88,Ekta Bhatnagar,4941353878,Vadodara,Retail,2024-08-12,lajita19@example.org
89,Lipika Shankar,1263344980,Surat,Retail,2025-05-25,isaacprabhakar@example.org
90,Ansh Khurana,223604099,Anand,Retail,2025-02-11,upadhriti40@example.net
91,Vrinda Choudhury,2097214647,Anand,Wholesale,2025-05-27,eloke@example.com
92,Vivaan Edwin,4953764730,Vadodara,Retail,2026-03-12,vivaan51@example.org
93,Harshil Tandon,2833866405,Gandhinagar,Wholesale,2024-09-08,qkhosla@example.com
94,Dev Yohannan,5582000230,Anand,Retail,2025-01-08,omya21@example.com
95,Dayamai Varughese,489303399,Rajkot,Wholesale,2023-08-11,hbasu@example.com
96,Logan Babu,3956044150,Vapi,Wholesale,2026-02-08,malldipta@example.net
97,Zayyan Balay,6220924808,Anand,Wholesale,2025-10-14,rsule@example.org
98,Yagnesh Master,3743618072,Jamnagar,Wholesale,2024-09-19,emisra@example.com
99,Ishwar Magar,4062282645,Ahmedabad,Wholesale,2024-12-21,iyersamar@example.net
100,Madhav Nazareth,5114822055,Jamnagar,Retail,2024-12-18,lakshmi79@example.net
101,Zarna Rama,7294412789,Vapi,Wholesale,2025-12-16,mohammed58@example.com
102,Omkaar Hans,5057219690,Gandhinagar,Retail,2024-08-14,gbandi@example.org
103,Shaurya Nayak,4433580295,Surat,Wholesale,2025-09-17,doshimason@example.net
104,Zarna Bora,7404262912,Gandhinagar,Wholesale,2024-05-03,vrishti35@example.org
105,Tamanna Dara,1669541871,Rajkot,Wholesale,2025-08-06,hmisra@example.net
106,Gaurav Parikh,1890801358,Anand,Wholesale,2025-12-23,fkuruvilla@example.org
107,Jai Dora,4836051736,Vapi,Wholesale,2024-10-04,qbhakta@example.org
108,Jeremiah Bhatti,8401063508,Rajkot,Retail,2023-12-06,virkrobert@example.net
109,Rachana Venkatesh,1864437928,Surat,Wholesale,2024-11-11,jbuch@example.org
110,Baghyawati Jain,3433993238,Anand,Retail,2025-02-28,aarnavsoman@example.net
111,Fiyaz Bera,9726738424,Bharuch,Retail,2023-11-28,caleb47@example.org
112,Gunbir Bir,8857047194,Bhavnagar,Retail,2024-07-14,wchauhan@example.com
